sentence_id,df_index,sari,bertscore_precision,bertscore_recall,bertscore_f1,fre,lix,compression_ratio,novelty,dis_ori_pred,dis_ori_ref,dis_pred_ref,score_dpo
1,0,37.445172,73.247933,66.519892,69.721979,102.7775,9.166667,87.394958,57.142857,0.110745,0.990563,0.245774,48.711284
1,1,37.043377,70.606923,69.800901,70.2016,91.016136,17.621212,72.268908,50.0,0.128122,0.990563,0.262698,46.887722
1,2,36.78062,70.45337,65.660965,67.972803,104.863824,10.739496,71.428571,53.846154,0.112573,0.990563,0.247558,47.329287
1,3,46.386514,70.300543,69.863355,70.08127,99.409848,20.969697,63.02521,23.529412,0.112536,0.990563,0.247518,47.383947
2,4,37.900254,66.782916,73.114789,69.805562,71.209848,37.636364,0.0,31.034483,1.0,0.999999,0.999999,62.223086
2,5,36.380218,69.911349,75.070328,72.39905,78.11,33.095238,31.818182,19.047619,1.0,0.999999,0.999999,64.368404
2,6,35.143771,66.651326,71.052265,68.781471,70.476648,39.203065,12.121212,29.62963,1.0,0.999999,0.999999,61.812467
2,7,37.843259,66.913217,72.272193,69.489545,76.08275,34.525,3.030303,26.923077,1.0,0.999999,0.999999,62.542089
3,8,41.799229,72.897494,75.759161,74.300784,102.365,24.666667,27.272727,31.818182,0.99991,0.999964,0.999987,68.844397
3,9,35.293942,72.92676,79.092789,75.884724,101.087333,18.362963,45.454545,33.333333,0.999983,0.999964,0.999898,68.896912
3,10,40.740144,75.758594,84.120321,79.720795,97.887608,21.295699,37.373737,30.434783,0.999981,0.999964,0.999997,70.286715
3,11,46.697958,74.255896,77.10529,75.65378,95.027719,22.122807,42.424242,50.0,0.999918,0.999964,0.999991,71.163028
4,12,46.228331,71.358132,80.938268,75.846881,87.668182,16.417655,21.590909,15.0,0.999645,0.999994,0.999708,67.64749
4,13,36.359805,67.900139,71.142185,69.483364,87.075,21.440476,45.454545,46.666667,0.999589,0.999994,0.999649,66.427825
4,14,34.371938,67.979372,71.887428,69.878799,85.954677,15.308756,29.545455,26.315789,0.999076,0.999994,0.999141,64.214381
4,15,32.335664,67.098594,71.40559,69.185126,89.774405,18.370748,44.318182,35.714286,0.999423,0.999994,0.999505,65.200713
5,16,35.565638,72.311544,68.380028,70.290858,100.015,16.333333,86.956522,30.0,0.985538,0.984206,0.999597,68.699136
5,17,37.803477,72.458935,74.393201,73.41333,88.492179,25.333333,57.608696,28.571429,0.341816,0.984206,0.174108,51.290871
5,18,34.831434,70.977312,67.706478,69.303322,89.606731,18.038462,85.869565,41.666667,0.219643,0.984206,0.044121,48.593557
5,19,36.525793,70.14398,68.363762,69.24243,82.39,35.5,78.26087,52.941176,0.808587,0.984206,0.69994,63.093954
6,20,51.297628,79.209983,79.067886,79.138869,70.6675,26.722222,30.769231,28.571429,0.999991,0.998822,0.998715,69.034752
6,21,44.455513,82.84936,72.845638,77.526122,81.648039,29.196078,56.410256,12.5,0.009665,0.998822,0.057953,44.065149
6,22,50.477967,78.690982,71.422946,74.881017,88.925176,21.047059,56.410256,9.090909,0.02777,0.998822,0.07614,45.456917
